DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
-0.03,1569295168145.0,8,0,0
0.72,1569295168606.0,8,0,0
1.1400000000000001,1569295169065.0,8,0,0
1.2,1569295169525.0,8,0,0
0.0,1569295169985.0,8,0,0
0.03,1569295170456.0,5,0,0
0.06,1569295170896.0,5,0,0
0.06,1569295171356.0,5,0,0
-0.03,1569295171815.0,5,0,0
-0.03,1569295172276.0,5,0,0
-0.03,1569295172745.0,5,0,0
-0.03,1569295173206.0,5,0,0
-0.03,1569295173665.0,5,0,0
-0.03,1569295174125.0,5,0,0
-0.03,1569295174594.0,5,0,0
-0.03,1569295175056.0,5,0,0
-0.03,1569295175516.0,5,0,0
-0.03,1569295175976.0,5,0,0
-0.03,1569295176436.0,5,0,0
-0.03,1569295176896.0,5,0,0
-0.03,1569295177356.0,5,0,0
-0.03,1569295177825.0,1,0,0
-0.03,1569295178286.0,1,0,0
-0.03,1569295178746.0,1,0,0
-0.03,1569295179215.0,1,0,0
-0.03,1569295179675.0,1,0,0
-0.03,1569295180135.0,1,0,0
-0.03,1569295180606.0,1,0,0
-0.03,1569295181065.0,1,0,0
-0.03,1569295181526.0,1,0,0
-0.03,1569295181986.0,9,0,0
-0.03,1569295182446.0,9,0,0
-0.03,1569295182905.0,9,0,0
-0.03,1569295183365.0,9,0,0
-0.03,1569295183825.0,9,0,0
-0.03,1569295184285.0,9,0,0
-0.03,1569295184746.0,9,0,0
-0.03,1569295185206.0,9,0,0
-0.03,1569295185676.0,9,0,0
-0.03,1569295186135.0,9,0,0
-0.03,1569295186598.0,9,0,0
-0.03,1569295187055.0,9,0,0
-0.03,1569295187516.0,9,0,0
-0.03,1569295187976.0,9,0,0
-0.03,1569295188472.0,9,0,0
0.24,1569295188885.0,9,0,0
0.93,1569295189346.0,9,0,0
0.99,1569295189805.0,9,0,0
-0.09,1569295190266.0,9,0,0
-0.03,1569295190726.0,9,0,0
-0.03,1569295191185.0,9,0,0
-0.03,1569295191645.0,9,0,0
-0.03,1569295192105.0,9,0,0
-0.03,1569295192566.0,9,0,0
-0.03,1569295193026.0,9,0,0
-0.03,1569295193486.0,9,0,0
-0.03,1569295193946.0,9,0,0
-0.03,1569295194405.0,9,0,0
-0.03,1569295194876.0,9,0,0
-0.03,1569295195336.0,9,0,0
-0.03,1569295195795.0,9,0,0
-0.03,1569295196256.0,9,0,0
-0.03,1569295196706.0,9,0,0
-0.03,1569295197165.0,9,0,0
-0.03,1569295197636.0,9,0,0
-0.03,1569295198096.0,9,0,0
-0.03,1569295198556.0,9,0,0
-0.03,1569295199016.0,9,0,0
-0.03,1569295199466.0,1,0,0
-0.03,1569295199926.0,1,0,0
-0.03,1569295200395.0,1,0,0
-0.03,1569295200856.0,1,0,0
-0.03,1569295201318.0,1,0,0
-0.03,1569295201776.0,4,0,0
-0.03,1569295202235.0,4,0,0
-0.03,1569295202696.0,4,0,0
-0.03,1569295203156.0,4,0,0
