DT_steerAngle,Timestamp,Action,Bump,Traffic congestion
-1.5,1569377015374.0,1,0,0
-2.2,1569377015834.0,1,0,0
-2.1,1569377016295.0,1,0,0
1.5,1569377016754.0,1,0,0
9.3,1569377017210.0,1,0,0
13.200000000000001,1569377017673.0,1,0,0
13.100000000000001,1569377018134.0,1,0,0
11.9,1569377018605.0,1,0,0
5.1000000000000005,1569377019064.0,1,0,0
-4.6000000000000005,1569377019523.0,1,0,0
-5.300000000000001,1569377019979.0,1,0,0
-5.4,1569377020443.0,1,0,0
-5.300000000000001,1569377020903.0,1,0,0
-5.300000000000001,1569377021364.0,1,0,0
-5.0,1569377021823.0,1,0,1
-4.5,1569377022284.0,1,0,1
-4.3,1569377022743.0,1,0,1
-4.1000000000000005,1569377023204.0,1,0,1
-4.1000000000000005,1569377023663.0,1,0,1
-1.2000000000000002,1569377024128.0,1,0,1
20.0,1569377024592.0,1,0,1
20.900000000000002,1569377025052.0,1,0,1
14.8,1569377025518.0,1,0,1
-2.3000000000000003,1569377025983.0,1,0,1
-3.7,1569377026443.0,1,0,1
-5.300000000000001,1569377026897.0,1,0,1
-5.2,1569377027369.0,1,0,1
-5.1000000000000005,1569377027833.0,1,0,1
-5.0,1569377028292.0,1,0,0
-2.2,1569377028752.0,1,0,0
-1.5,1569377029218.0,1,0,0
-1.4000000000000001,1569377029682.0,1,0,0
-0.1,1569377030143.0,1,0,0
2.9000000000000004,1569377030598.0,1,0,0
8.3,1569377031058.0,1,0,0
15.5,1569377031523.0,1,0,0
17.6,1569377031983.0,1,0,0
17.7,1569377032442.0,1,0,0
17.7,1569377032909.0,1,0,0
17.7,1569377033363.0,1,0,0
15.200000000000001,1569377033827.0,1,0,0
-2.6,1569377034303.0,1,0,0
-3.5,1569377034769.0,1,0,0
-3.5,1569377035228.0,1,0,0
-2.9000000000000004,1569377035688.0,1,0,0
-2.5,1569377036148.0,1,0,0
-2.5,1569377036636.0,1,0,0
-0.9,1569377037063.0,1,0,0
-0.9,1569377037528.0,1,0,0
-0.9,1569377037983.0,1,0,0
-0.9,1569377038448.0,1,0,0
-0.9,1569377038903.0,1,0,0
-0.9,1569377039363.0,1,0,0
-0.9,1569377039818.0,1,0,0
-0.9,1569377040278.0,1,0,0
-1.0,1569377040743.0,1,0,0
-1.0,1569377041203.0,1,0,0
-1.8,1569377041662.0,1,0,0
-2.1,1569377042123.0,1,0,0
0.0,1569377042578.0,1,0,0
0.2,1569377043038.0,1,0,0
0.2,1569377043502.0,1,0,1
0.2,1569377043962.0,1,0,1
0.30000000000000004,1569377044423.0,1,0,1
0.30000000000000004,1569377044889.0,1,0,1
0.30000000000000004,1569377045360.0,1,0,1
0.2,1569377045818.0,1,0,0
0.30000000000000004,1569377046278.0,1,0,0
0.2,1569377046737.0,1,0,0
0.4,1569377047197.0,1,0,0
0.4,1569377047662.0,1,0,0
0.4,1569377048122.0,1,0,0
0.4,1569377048582.0,1,0,1
0.4,1569377049047.0,1,0,1
0.4,1569377049507.0,1,0,1
0.4,1569377049972.0,1,0,1
0.4,1569377050437.0,1,0,1
0.4,1569377050897.0,1,0,1
0.4,1569377051357.0,1,0,1
0.4,1569377051817.0,1,0,1
0.30000000000000004,1569377052276.0,1,0,1
0.30000000000000004,1569377052742.0,1,0,1
0.30000000000000004,1569377053202.0,1,0,1
0.30000000000000004,1569377053667.0,1,0,1
0.30000000000000004,1569377054136.0,1,0,1
0.30000000000000004,1569377054612.0,0,0,0
0.30000000000000004,1569377055072.0,0,0,0
0.30000000000000004,1569377055532.0,0,0,0
0.30000000000000004,1569377055997.0,0,0,0
0.30000000000000004,1569377056461.0,0,0,0
0.30000000000000004,1569377056917.0,0,0,0
0.30000000000000004,1569377057377.0,0,0,0
0.30000000000000004,1569377057842.0,0,0,0
0.30000000000000004,1569377058317.0,0,0,0
0.30000000000000004,1569377058772.0,0,0,0
0.30000000000000004,1569377059237.0,0,0,0
0.30000000000000004,1569377059697.0,0,0,0
0.30000000000000004,1569377060158.0,0,0,0
0.30000000000000004,1569377060627.0,0,0,0
0.30000000000000004,1569377061087.0,0,0,0
0.30000000000000004,1569377061552.0,0,0,0
0.30000000000000004,1569377062007.0,0,0,0
0.30000000000000004,1569377062484.0,0,0,0
0.30000000000000004,1569377062922.0,0,0,0
0.30000000000000004,1569377063382.0,0,0,0
0.30000000000000004,1569377063841.0,0,0,0
0.30000000000000004,1569377064302.0,0,0,0
0.30000000000000004,1569377064762.0,0,0,0
0.2,1569377065221.0,0,0,0
0.2,1569377065681.0,0,0,0
0.2,1569377066141.0,0,0,0
0.2,1569377066607.0,0,0,0
0.2,1569377067062.0,0,0,0
0.2,1569377067522.0,0,0,0
0.2,1569377067981.0,0,0,0
0.2,1569377068438.0,0,0,0
-0.5,1569377068902.0,0,0,0
-0.30000000000000004,1569377069358.0,0,0,0
-0.30000000000000004,1569377069817.0,0,0,0
-0.1,1569377070312.0,0,0,0
0.1,1569377070736.0,0,0,0
2.5,1569377071197.0,0,0,0
2.7,1569377071657.0,0,0,0
2.5,1569377072122.0,0,0,0
2.2,1569377072582.0,1,0,1
2.1,1569377073041.0,1,0,1
2.1,1569377073517.0,1,0,1
2.0,1569377073961.0,1,0,1
2.0,1569377074431.0,1,0,1
2.0,1569377074886.0,1,0,1
2.0,1569377075341.0,1,0,1
2.0,1569377075817.0,1,0,1
2.0,1569377076275.0,1,0,1
