DT_acceleration,Timestamp,Action,Bump,Traffic congestion
-0.001,1569377087421.0,0,0,0
0.0,1569377087881.0,0,0,0
0.0,1569377088341.0,0,0,0
0.0,1569377088811.0,0,0,0
0.0,1569377089271.0,0,0,0
0.0,1569377089731.0,0,0,0
0.0,1569377090191.0,0,0,0
0.0,1569377090651.0,0,0,0
0.0,1569377091111.0,0,0,0
0.0,1569377091583.0,0,0,0
0.0,1569377092041.0,0,0,0
0.0,1569377092500.0,0,0,0
0.0,1569377092961.0,0,0,0
-0.001,1569377093421.0,0,0,0
-0.028,1569377093881.0,0,0,0
-0.026000000000000002,1569377094351.0,0,0,0
-0.012,1569377094811.0,0,0,0
-0.005,1569377095272.0,0,0,0
-0.002,1569377095751.0,0,0,0
-0.001,1569377096191.0,0,0,0
0.0,1569377096651.0,0,0,0
0.0,1569377097101.0,0,0,0
0.0,1569377097571.0,0,0,0
0.0,1569377098031.0,0,0,0
0.0,1569377098501.0,0,0,0
0.0,1569377098961.0,0,0,0
0.0,1569377099421.0,0,0,0
0.0,1569377099881.0,0,0,0
0.0,1569377100340.0,0,0,0
0.0,1569377100811.0,0,0,0
0.0,1569377101271.0,0,0,0
0.0,1569377101731.0,0,0,0
0.0,1569377102181.0,0,0,0
0.0,1569377102651.0,0,0,0
0.0,1569377103101.0,0,0,0
0.0,1569377103571.0,0,0,0
0.0,1569377104031.0,0,0,0
0.0,1569377104490.0,0,0,0
0.0,1569377104951.0,0,0,0
0.0,1569377105411.0,0,0,0
0.0,1569377105871.0,0,0,0
0.0,1569377106331.0,0,0,0
0.0,1569377106791.0,0,0,0
0.0,1569377107251.0,0,0,0
0.0,1569377107711.0,0,0,0
0.0,1569377108171.0,0,0,0
0.0,1569377108630.0,1,0,1
0.0,1569377109101.0,1,0,1
0.295,1569377109561.0,1,0,1
0.5730000000000001,1569377110021.0,1,0,1
0.539,1569377110488.0,1,0,1
0.41000000000000003,1569377110941.0,1,0,1
0.311,1569377111401.0,1,0,1
0.257,1569377111861.0,1,0,1
0.226,1569377112321.0,1,0,1
0.201,1569377112780.0,1,0,1
0.17400000000000002,1569377113241.0,1,0,1
0.14400000000000002,1569377113701.0,1,0,1
0.145,1569377114161.0,1,0,1
0.145,1569377114631.0,1,0,1
0.14200000000000002,1569377115091.0,1,0,1
0.161,1569377115551.0,1,0,1
0.362,1569377116010.0,1,0,1
0.327,1569377116484.0,1,0,1
0.212,1569377116951.0,1,0,1
0.162,1569377117413.0,1,0,1
0.14400000000000002,1569377117871.0,1,0,1
0.138,1569377118330.0,1,0,1
0.128,1569377118791.0,1,0,1
0.12,1569377119250.0,1,0,1
0.116,1569377119721.0,1,0,1
0.121,1569377120181.0,1,0,1
0.121,1569377120641.0,1,0,1
0.131,1569377121101.0,1,0,1
0.123,1569377121561.0,1,0,1
0.116,1569377122031.0,1,0,1
0.105,1569377122491.0,1,0,1
0.112,1569377122951.0,1,0,1
0.10300000000000001,1569377123411.0,1,0,1
0.097,1569377123871.0,1,0,1
0.085,1569377124331.0,1,0,1
0.013000000000000001,1569377124791.0,1,0,1
-0.398,1569377125251.0,1,0,1
-0.433,1569377125711.0,1,0,1
-0.20600000000000002,1569377126171.0,1,0,1
-0.077,1569377126631.0,1,0,1
-0.093,1569377127090.0,1,0,1
-0.151,1569377127565.0,1,0,1
-0.375,1569377128011.0,1,0,1
-0.29,1569377128471.0,1,0,1
-0.138,1569377128931.0,1,0,1
-0.007,1569377129391.0,1,0,1
0.022,1569377129851.0,1,0,1
-0.007,1569377130311.0,1,0,1
-0.005,1569377130771.0,1,0,1
0.004,1569377131231.0,1,0,1
-0.005,1569377131701.0,1,0,1
-0.163,1569377132151.0,1,0,1
-0.916,1569377132611.0,1,0,1
-0.875,1569377133081.0,1,0,1
-0.592,1569377133531.0,1,0,1
-0.31,1569377134001.0,1,0,1
0.094,1569377134461.0,1,0,1
0.24,1569377134921.0,1,0,1
0.23,1569377135381.0,1,0,1
0.188,1569377135851.0,1,0,1
0.14400000000000002,1569377136311.0,1,0,1
0.10300000000000001,1569377136771.0,1,0,1
0.081,1569377137232.0,1,0,1
0.075,1569377137691.0,1,0,1
0.073,1569377138151.0,1,0,1
0.07,1569377138611.0,1,0,1
0.08,1569377139071.0,1,0,1
-0.23800000000000002,1569377139541.0,1,0,1
-1.247,1569377140001.0,1,0,1
-1.09,1569377140461.0,1,0,1
-0.457,1569377140921.0,1,0,1
0.219,1569377141381.0,1,0,1
-0.031,1569377141841.0,0,0,0
-0.45,1569377142342.0,0,0,0
-0.381,1569377142761.0,0,0,0
-0.212,1569377143220.0,0,0,0
0.166,1569377143681.0,1,0,1
0.607,1569377144141.0,1,0,1
0.582,1569377144601.0,1,0,1
0.509,1569377145061.0,1,0,1
0.384,1569377145539.0,1,0,1
0.301,1569377145990.0,1,0,1
0.233,1569377146451.0,1,0,1
0.157,1569377146911.0,1,0,1
0.112,1569377147371.0,1,0,1
0.09,1569377147831.0,1,0,1
0.073,1569377148291.0,1,0,1
0.039,1569377148761.0,1,0,1
-0.037,1569377149221.0,1,0,1
-0.194,1569377149681.0,1,0,1
-0.302,1569377150131.0,1,0,1
-0.36,1569377150601.0,1,0,1
-0.432,1569377151061.0,1,0,1
-0.27,1569377151521.0,1,0,1
-0.048,1569377151991.0,1,0,1
0.095,1569377152441.0,1,0,1
0.027,1569377152933.0,1,0,1
-0.058,1569377153371.0,1,0,1
0.025,1569377153831.0,1,0,1
0.212,1569377154291.0,1,0,1
0.29,1569377154761.0,1,0,1
0.217,1569377155217.0,1,0,1
0.036000000000000004,1569377155680.0,1,0,1
0.088,1569377156141.0,1,0,1
0.176,1569377156611.0,1,0,1
0.19,1569377157071.0,1,0,1
0.17500000000000002,1569377157533.0,1,0,1
0.135,1569377157991.0,1,0,1
0.138,1569377158450.0,1,0,1
0.148,1569377158911.0,1,0,1
0.152,1569377159381.0,1,0,1
0.138,1569377159841.0,1,0,1
0.148,1569377160350.0,1,0,1
0.11900000000000001,1569377160780.0,1,0,1
0.095,1569377161241.0,1,0,1
0.107,1569377161700.0,1,0,1
0.106,1569377162161.0,1,0,1
0.081,1569377162621.0,1,0,1
-0.014,1569377163080.0,1,0,1
-0.683,1569377163551.0,1,0,1
-0.9480000000000001,1569377164010.0,1,0,1
-0.599,1569377164470.0,1,0,1
-0.356,1569377164931.0,1,0,1
-0.341,1569377165392.0,1,0,1
-0.304,1569377165840.0,1,0,1
-0.165,1569377166301.0,1,0,1
-0.052000000000000005,1569377166770.0,1,0,1
-0.042,1569377167231.0,1,0,1
-0.025,1569377167690.0,1,0,1
0.039,1569377168150.0,1,0,1
-0.022,1569377168611.0,1,0,1
-0.029,1569377169072.0,1,0,1
-0.003,1569377169533.0,1,0,1
0.005,1569377169993.0,1,0,1
-0.088,1569377170452.0,1,0,1
-0.195,1569377170919.0,1,0,1
-0.12,1569377171373.0,1,0,1
-0.006,1569377171831.0,1,0,1
-0.12,1569377172292.0,1,0,1
-0.224,1569377172751.0,1,0,1
-0.226,1569377173212.0,1,0,1
-0.148,1569377173672.0,0,0,0
-0.068,1569377174132.0,0,0,0
-0.006,1569377174602.0,0,0,0
0.013000000000000001,1569377175100.0,0,0,0
0.024,1569377175532.0,0,0,0
0.024,1569377175993.0,0,0,0
0.015,1569377176442.0,1,0,1
0.06,1569377176912.0,1,0,1
0.279,1569377177372.0,1,0,1
0.486,1569377177832.0,1,0,1
0.463,1569377178302.0,1,0,1
0.368,1569377178762.0,1,0,1
0.28,1569377179222.0,1,0,1
0.183,1569377179682.0,1,0,1
0.059000000000000004,1569377180142.0,1,0,1
0.089,1569377180602.0,1,0,1
0.026000000000000002,1569377181072.0,1,0,1
0.04,1569377181532.0,1,0,1
0.066,1569377181992.0,1,0,1
0.008,1569377182442.0,1,0,1
-0.075,1569377182911.0,1,0,1
-0.099,1569377183362.0,1,0,1
0.048,1569377183832.0,1,0,1
0.183,1569377184281.0,1,0,1
0.195,1569377184742.0,1,0,1
0.131,1569377185202.0,1,0,1
0.049,1569377185661.0,1,0,1
0.011,1569377186122.0,1,0,1
0.055,1569377186582.0,1,0,1
-0.012,1569377187042.0,1,0,1
-0.11,1569377187502.0,1,0,1
-0.128,1569377187961.0,1,0,1
-0.08700000000000001,1569377188422.0,1,0,1
0.067,1569377188892.0,1,0,1
0.132,1569377189352.0,1,0,1
0.131,1569377189812.0,1,0,1
0.106,1569377190272.0,1,0,1
0.089,1569377190732.0,1,0,1
0.15,1569377191192.0,1,0,1
0.34800000000000003,1569377191652.0,1,0,1
