accLateral_data,Timestamp,Action,Bump,Traffic congestion
-0.016,1576128111429,3,0,0
-0.008,1576128111879,3,0,0
-0.006,1576128112329,3,0,0
-0.008,1576128112779,3,0,0
-0.003,1576128113229,1,0,0
0.0,1576128113679,1,0,0
-0.002,1576128114129,1,0,0
-0.001,1576128114579,1,0,0
-0.003,1576128115029,1,0,0
-0.002,1576128115479,1,0,0
-0.002,1576128115929,1,0,0
-0.006,1576128116379,1,0,0
-0.002,1576128116839,1,0,0
0.0,1576128117289,1,0,0
-0.001,1576128117739,1,0,0
0.001,1576128118189,1,0,0
0.001,1576128118639,1,0,0
0.0,1576128119089,1,0,0
0.003,1576128119539,1,0,0
0.0,1576128119989,1,0,0
-0.002,1576128120439,1,0,0
-0.003,1576128120889,1,0,0
-0.004,1576128121339,4,0,0
-0.002,1576128121789,4,0,0
0.0,1576128122239,4,0,0
0.005,1576128122689,4,0,0
0.002,1576128123149,4,0,0
0.005,1576128123599,4,0,0
0.005,1576128124049,4,0,0
0.004,1576128124499,4,0,0
0.002,1576128124949,4,0,0
0.001,1576128125399,4,0,0
-0.002,1576128125849,4,0,0
-0.004,1576128126299,4,0,0
-0.006,1576128126759,4,0,0
-0.005,1576128127209,4,0,0
-0.004,1576128127669,4,0,0
-0.004,1576128128119,4,0,0
-0.002,1576128128569,4,0,0
-0.001,1576128129029,1,0,0
0.0,1576128129479,1,0,0
0.0,1576128129929,1,0,0
0.0,1576128130379,1,0,0
0.0,1576128130829,1,0,0
0.0,1576128131279,1,0,0
0.0,1576128131729,1,0,0
0.0,1576128132180,1,0,0
0.0,1576128132640,1,0,0
0.0,1576128133090,1,0,0
0.001,1576128133540,1,0,0
0.001,1576128133989,1,0,0
0.0,1576128134449,1,0,0
0.0,1576128134909,1,0,0
0.0,1576128135360,1,0,0
0.0,1576128135810,1,0,0
0.0,1576128136259,1,0,0
0.0,1576128136709,1,0,0
0.0,1576128137159,1,0,0
0.0,1576128137609,1,0,0
0.0,1576128138059,1,0,0
0.0,1576128138509,1,0,0
-0.003,1576128138959,1,0,0
-0.003,1576128139409,1,0,0
0.0,1576128139859,1,0,0
0.0,1576128140309,1,0,0
0.0,1576128140760,1,0,0
0.0,1576128141210,1,0,0
0.0,1576128141660,1,0,0
0.002,1576128142110,1,0,0
0.001,1576128142559,1,0,0
0.0,1576128143009,1,0,0
0.002,1576128143459,1,0,0
0.0,1576128143909,1,0,0
0.001,1576128144360,1,0,0
0.0,1576128144809,1,0,0
0.0,1576128145259,1,0,0
-0.001,1576128145709,1,0,0
-0.001,1576128146159,1,0,0
0.0,1576128146609,1,0,0
0.0,1576128147059,1,0,0
0.0,1576128147509,1,0,0
0.0,1576128147959,1,0,0
0.0,1576128148409,1,0,0
0.0,1576128148859,1,0,0
0.0,1576128149309,1,0,0
-0.001,1576128149760,1,0,0
0.0,1576128150209,1,0,0
0.0,1576128150660,1,0,0
0.0,1576128151109,1,0,0
0.0,1576128151559,1,0,0
0.0,1576128152009,1,0,0
0.0,1576128152459,1,0,0
-0.001,1576128152909,1,0,0
0.0,1576128153359,1,0,0
0.0,1576128153809,1,0,0
0.0,1576128154259,1,0,0
0.0,1576128154709,1,0,0
0.0,1576128155159,1,0,0
-0.001,1576128155609,1,0,0
0.0,1576128156059,1,0,0
0.0,1576128156509,1,0,0
0.0,1576128156959,1,0,0
0.0,1576128157418,1,0,0
0.0,1576128157870,1,0,0
0.0,1576128158319,1,0,0
0.0,1576128158769,1,0,0
0.0,1576128159219,1,0,0
0.0,1576128159669,1,0,0
0.0,1576128160119,1,0,0
0.0,1576128160569,1,0,0
0.0,1576128161019,1,0,0
0.0,1576128161469,1,0,0
0.0,1576128161919,1,0,0
0.0,1576128162369,1,0,0
0.0,1576128162819,1,0,0
0.0,1576128163270,1,0,0
0.0,1576128163719,1,0,0
0.0,1576128164169,1,0,0
0.0,1576128164619,1,0,0
-0.001,1576128165069,1,0,0
0.0,1576128165519,2,0,0
0.003,1576128165969,2,0,0
0.003,1576128166419,2,0,0
0.006,1576128166869,2,0,0
0.014,1576128167319,2,0,0
0.015,1576128167769,2,0,0
0.022,1576128168219,2,0,0
0.022,1576128168669,2,0,0
0.023,1576128169120,2,0,0
0.023,1576128169569,2,0,0
0.017,1576128170019,2,0,0
0.021,1576128170469,2,0,0
0.015,1576128170919,2,0,0
0.009000000000000001,1576128171369,2,0,0
0.008,1576128171819,2,0,0
-0.009000000000000001,1576128172269,2,0,0
