accPre_data,Timestamp,Action,Bump,Traffic congestion
29.830000000000002,1577072455474,1,0,0
29.830000000000002,1577072455966,1,0,0
29.830000000000002,1577072456406,1,0,0
29.830000000000002,1577072456906,1,0,0
29.830000000000002,1577072457354,1,0,0
29.4375,1577072457845,5,0,0
29.4375,1577072458294,5,0,0
29.4375,1577072458784,5,0,0
29.4375,1577072459234,5,0,0
29.4375,1577072459725,5,0,0
29.4375,1577072460174,5,0,0
29.4375,1577072460664,5,0,0
29.4375,1577072461114,5,0,0
29.4375,1577072461605,5,0,0
26.2975,1577072462054,5,0,0
25.12,1577072462544,5,0,0
25.12,1577072462994,5,0,0
25.12,1577072463484,5,0,0
25.12,1577072463924,5,0,0
25.12,1577072464425,5,0,0
25.12,1577072464864,5,0,0
25.12,1577072465354,5,0,0
25.12,1577072465805,5,0,0
26.2975,1577072466305,5,0,0
29.045,1577072466754,5,0,0
32.5775,1577072467244,5,0,0
33.755,1577072467694,5,0,0
33.755,1577072468184,5,0,0
34.1475,1577072468634,5,0,0
32.97,1577072469124,5,0,0
31.7925,1577072469574,5,0,0
29.4375,1577072470064,3,0,0
25.905,1577072470514,3,0,0
25.12,1577072471014,3,0,0
25.12,1577072471454,3,0,0
25.12,1577072471944,3,0,0
25.12,1577072472394,3,0,0
25.12,1577072472884,3,0,0
25.5125,1577072473334,3,0,0
25.5125,1577072473824,3,0,0
25.905,1577072474274,3,0,0
25.905,1577072474764,3,0,0
31.400000000000002,1577072475214,3,0,0
32.97,1577072475704,3,0,0
32.97,1577072476154,3,0,0
32.5775,1577072476644,3,0,0
32.5775,1577072477094,3,0,0
33.362500000000004,1577072477584,3,0,0
32.5775,1577072478034,3,0,0
32.5775,1577072478524,3,0,0
32.5775,1577072478964,3,0,0
32.5775,1577072479454,3,0,0
32.5775,1577072479894,3,0,0
32.5775,1577072480384,3,0,0
32.5775,1577072480834,3,0,0
32.5775,1577072481334,3,0,0
33.362500000000004,1577072481784,3,0,0
33.362500000000004,1577072482273,3,0,0
33.755,1577072482724,3,0,0
35.325,1577072483213,3,0,0
36.11,1577072483663,8,0,0
37.2875,1577072484153,8,0,0
37.2875,1577072484604,8,0,0
36.11,1577072485093,8,0,0
36.11,1577072485543,8,0,0
34.932500000000005,1577072486034,8,0,0
34.932500000000005,1577072486483,8,0,0
34.932500000000005,1577072486973,8,0,0
35.7175,1577072487423,8,0,0
36.11,1577072487913,8,0,0
36.11,1577072488353,8,0,0
36.11,1577072488843,8,0,0
36.11,1577072489293,8,0,0
36.11,1577072489783,8,0,0
36.11,1577072490233,8,0,0
36.11,1577072490723,8,0,0
36.11,1577072491173,8,0,0
36.502500000000005,1577072491663,8,0,0
36.895,1577072492113,8,0,0
36.895,1577072492603,8,0,0
37.2875,1577072493053,8,0,0
37.68,1577072493543,8,0,0
38.0725,1577072493993,8,0,0
38.0725,1577072494483,8,0,0
38.0725,1577072494923,8,0,0
38.0725,1577072495413,8,0,0
39.6425,1577072495863,8,0,0
40.035000000000004,1577072496363,8,0,0
39.6425,1577072496803,8,0,0
39.6425,1577072497293,8,0,0
39.6425,1577072497743,8,0,0
39.6425,1577072498233,8,0,0
39.6425,1577072498683,8,0,0
40.035000000000004,1577072499173,8,0,0
39.6425,1577072499623,8,0,0
39.6425,1577072500113,8,0,0
39.25,1577072500563,8,0,0
31.7925,1577072501053,4,0,0
31.400000000000002,1577072501503,4,0,0
31.400000000000002,1577072501993,4,0,0
31.7925,1577072502443,4,0,0
31.7925,1577072502933,4,0,0
32.185,1577072503383,4,0,0
32.185,1577072503873,4,0,0
32.185,1577072504323,4,0,0
32.185,1577072504813,4,0,0
32.185,1577072505263,4,0,0
32.185,1577072505753,4,0,0
32.5775,1577072506203,4,0,0
34.54,1577072506693,4,0,0
37.68,1577072507133,4,0,0
38.0725,1577072507623,4,0,0
38.0725,1577072508073,1,0,0
37.68,1577072508563,1,0,0
37.68,1577072509013,1,0,0
37.2875,1577072509503,1,0,0
33.362500000000004,1577072509943,1,0,0
14.5225,1577072510443,1,0,0
14.5225,1577072510883,1,0,0
14.5225,1577072511373,1,0,0
21.587500000000002,1577072511813,1,0,0
22.372500000000002,1577072512303,1,0,0
22.372500000000002,1577072512753,1,0,0
14.5225,1577072513243,1,0,0
14.5225,1577072513693,1,0,0
14.5225,1577072514183,2,0,0
14.5225,1577072514633,2,0,0
14.5225,1577072515123,2,0,0
14.5225,1577072515563,2,0,0
14.5225,1577072516063,2,0,0
14.5225,1577072516513,2,0,0
14.5225,1577072517003,2,0,0
14.5225,1577072517453,2,0,0
14.5225,1577072517943,2,0,0
14.5225,1577072518383,2,0,0
14.5225,1577072518873,2,0,0
14.5225,1577072519323,2,0,0
14.5225,1577072519813,2,0,0
14.5225,1577072520263,2,0,0
14.5225,1577072520753,2,0,0
14.5225,1577072521203,2,0,0
17.6625,1577072521703,2,0,0
24.727500000000003,1577072522153,2,0,0
29.045,1577072522643,2,0,0
30.2225,1577072523093,2,0,0
30.2225,1577072523583,2,0,0
30.615000000000002,1577072524033,2,0,0
30.615000000000002,1577072524523,2,0,0
