rpm_data,Timestamp,Action,Bump,Traffic congestion
1327.5,1576135273114,1,0,0
1335.0,1576135273564,1,0,0
1353.5,1576135274014,1,0,0
1372.5,1576135274464,1,0,0
1385.0,1576135274914,1,0,0
1403.5,1576135275365,1,0,0
1413.5,1576135275814,1,0,0
1426.0,1576135276264,1,0,0
1422.0,1576135276714,1,0,0
1414.0,1576135277164,1,0,0
1409.0,1576135277624,1,0,0
1407.5,1576135278074,1,0,0
1400.0,1576135278534,1,0,0
1393.5,1576135278984,1,0,0
1398.0,1576135279434,1,0,0
1398.0,1576135279884,1,0,0
1397.5,1576135280334,1,0,0
1388.0,1576135280784,1,0,0
1387.0,1576135281234,1,0,0
1381.5,1576135281684,1,0,0
1376.5,1576135282144,1,0,0
1386.0,1576135282604,1,0,0
1395.0,1576135283054,1,0,0
1403.0,1576135283504,1,0,0
1408.0,1576135283954,1,0,0
1406.0,1576135284404,1,0,0
1412.5,1576135284854,1,0,0
1410.5,1576135285304,1,0,0
1396.5,1576135285754,1,0,0
1407.0,1576135286204,1,0,0
1416.5,1576135286654,1,0,0
1425.5,1576135287104,1,0,0
1435.0,1576135287554,1,0,0
1460.5,1576135288024,1,0,0
1470.5,1576135288474,1,0,0
1473.5,1576135288924,1,0,0
1487.5,1576135289374,1,0,0
1489.5,1576135289824,1,0,0
1497.0,1576135290274,1,0,0
1485.0,1576135290724,1,0,0
1472.5,1576135291174,1,0,0
1474.0,1576135291624,1,0,0
1472.0,1576135292074,1,0,0
1485.5,1576135292524,1,0,0
1499.5,1576135292974,1,0,0
1518.5,1576135293424,1,0,0
1516.5,1576135293874,1,0,0
1499.5,1576135294324,1,0,0
1493.0,1576135294774,1,0,0
1451.0,1576135295224,1,0,0
1435.5,1576135295674,1,0,0
1438.5,1576135296124,1,0,0
1437.5,1576135296574,1,0,0
1479.0,1576135297024,1,0,0
1495.5,1576135297474,1,0,0
1500.5,1576135297924,1,0,0
1517.0,1576135298374,1,0,0
1496.5,1576135298824,1,0,0
1474.5,1576135299274,1,0,0
1490.0,1576135299724,1,0,0
1466.0,1576135300174,1,0,0
1456.0,1576135300624,1,0,0
1457.0,1576135301074,1,0,0
1467.5,1576135301524,1,0,0
1465.5,1576135301974,1,0,0
1474.5,1576135302424,1,0,0
1496.0,1576135302874,1,0,0
1489.5,1576135303324,1,0,0
1498.5,1576135303774,1,0,0
1496.0,1576135304225,1,0,0
1505.5,1576135304674,1,0,0
1505.0,1576135305124,1,0,0
1502.0,1576135305574,1,0,0
1500.0,1576135306024,1,0,0
1494.0,1576135306474,1,0,0
1504.5,1576135306924,1,0,0
1509.0,1576135307374,1,0,0
1516.0,1576135307834,1,0,0
1493.0,1576135308284,1,0,0
1493.0,1576135308734,1,0,0
1497.5,1576135309184,1,0,0
1511.0,1576135309635,1,0,0
1523.0,1576135310084,1,0,0
1528.0,1576135310534,1,0,0
1530.0,1576135310984,1,0,0
1517.5,1576135311434,1,0,0
1510.5,1576135311884,1,0,0
1495.0,1576135312334,1,0,0
1480.0,1576135312784,1,0,0
1469.5,1576135313234,1,0,0
1462.0,1576135313685,1,0,0
1451.0,1576135314134,1,0,0
1447.0,1576135314584,1,0,0
1438.0,1576135315034,1,0,0
1430.5,1576135315484,1,0,0
1415.5,1576135315934,1,0,0
1415.5,1576135316384,1,0,0
1415.5,1576135316834,1,0,0
1401.5,1576135317284,1,0,0
1406.0,1576135317735,1,0,0
1405.0,1576135318185,1,0,0
1401.0,1576135318634,1,0,0
1385.0,1576135319084,1,0,0
1394.5,1576135319534,1,0,0
1380.5,1576135319984,1,0,0
1372.0,1576135320434,1,0,0
1365.0,1576135320884,1,0,0
1364.0,1576135321336,1,0,0
1360.0,1576135321784,1,0,0
1361.0,1576135322235,1,0,0
1356.5,1576135322685,1,0,0
1353.5,1576135323135,1,0,0
1352.5,1576135323585,1,0,0
1354.0,1576135324035,1,0,0
1354.0,1576135324485,1,0,0
1351.5,1576135324935,1,0,0
1355.0,1576135325385,1,0,0
1361.0,1576135325835,1,0,0
1352.5,1576135326285,1,0,0
1325.0,1576135326735,1,0,0
1329.5,1576135327185,1,0,0
1326.5,1576135327635,1,0,0
1325.0,1576135328085,1,0,0
1323.5,1576135328534,1,0,0
1329.0,1576135328985,1,0,0
1331.0,1576135329435,1,0,0
1339.0,1576135329885,1,0,0
1350.0,1576135330335,1,0,0
1356.0,1576135330785,1,0,0
1371.0,1576135331235,1,0,0
1404.5,1576135331685,1,0,0
1677.5,1576135332135,1,0,0
3691.0,1576135332585,1,0,0
4038.5,1576135333035,1,0,0
4284.0,1576135333485,1,0,0
4458.0,1576135333935,1,0,0
3176.0,1576135334385,1,0,0
3212.0,1576135334835,1,0,0
3026.5,1576135335285,1,0,0
2758.0,1576135335735,1,0,0
2115.5,1576135336185,1,0,0
2068.0,1576135336635,1,0,0
1975.5,1576135337085,1,0,0
1576.0,1576135337535,1,0,0
1470.0,1576135337985,1,0,0
1496.0,1576135338435,1,0,0
1514.5,1576135338885,1,0,0
1521.0,1576135339335,1,0,0
1528.5,1576135339785,1,0,0
1531.5,1576135340235,1,0,0
1535.5,1576135340685,1,0,0
1521.5,1576135341135,1,0,0
1525.0,1576135341585,1,0,0
1517.5,1576135342035,1,0,0
1509.0,1576135342485,1,0,0
1498.5,1576135342935,1,0,0
1488.5,1576135343385,1,0,0
1477.5,1576135343835,1,0,0
1469.0,1576135344285,1,0,0
1466.5,1576135344735,1,0,0
1472.5,1576135345185,1,0,0
1464.0,1576135345635,1,0,0
1459.0,1576135346085,1,0,0
1463.0,1576135346535,1,0,0
1445.0,1576135346985,1,0,0
1440.0,1576135347435,1,0,0
1433.0,1576135347895,1,0,0
1394.0,1576135348345,1,0,0
1327.0,1576135348795,1,0,0
1316.5,1576135349245,1,0,0
1306.0,1576135349695,1,0,0
1284.0,1576135350145,1,0,0
1220.5,1576135350595,1,0,0
1174.5,1576135351045,1,0,0
1145.0,1576135351495,1,0,0
1324.5,1576135351955,1,0,0
1360.5,1576135352405,1,0,0
1346.0,1576135352855,1,0,0
1332.5,1576135353305,1,0,0
1352.0,1576135353755,1,0,0
1325.0,1576135354205,1,0,0
1338.5,1576135354655,1,0,0
1366.0,1576135355105,1,0,0
1387.5,1576135355555,1,0,0
1403.5,1576135356005,1,0,0
1426.5,1576135356455,1,0,0
1444.5,1576135356905,1,0,0
1457.0,1576135357355,1,0,0
1486.0,1576135357805,1,0,0
1496.0,1576135358255,1,0,0
1512.5,1576135358705,1,0,0
1535.0,1576135359155,1,0,0
1556.0,1576135359605,1,0,0
1574.5,1576135360055,1,0,0
1581.5,1576135360505,1,0,0
1595.5,1576135360955,1,0,0
1611.0,1576135361405,1,0,0
1610.0,1576135361865,1,0,0
1624.5,1576135362315,1,0,0
1627.5,1576135362765,1,0,0
1634.0,1576135363225,1,0,0
1642.5,1576135363675,1,0,0
1652.5,1576135364125,1,0,0
1656.0,1576135364575,1,0,0
1660.0,1576135365025,1,0,0
1664.0,1576135365475,1,0,0
1649.5,1576135365925,1,0,0
1653.0,1576135366375,1,0,0
1644.0,1576135366835,1,0,0
1641.5,1576135367285,1,0,0
1642.5,1576135367735,1,0,0
1653.5,1576135368195,1,0,0
1671.5,1576135368645,1,0,0
1676.5,1576135369095,1,0,0
1675.5,1576135369545,1,0,0
1675.0,1576135369995,1,0,0
1672.5,1576135370445,1,0,0
1669.5,1576135370895,1,0,0
