acceleration_data,Timestamp,Action,Bump,Traffic congestion
-2.448,1577001774284,8,0,0
-2.328,1577001774724,8,0,0
-2.0260000000000002,1577001775214,8,0,0
-1.449,1577001775654,8,0,0
-0.779,1577001776144,8,0,0
-0.467,1577001776584,8,0,0
-0.091,1577001777074,8,0,0
0.255,1577001777514,8,0,0
0.401,1577001778004,8,0,0
0.338,1577001778444,8,0,0
0.38,1577001778934,8,0,0
0.427,1577001779374,8,0,0
0.447,1577001779874,8,0,0
0.458,1577001780314,8,0,0
0.495,1577001780804,8,0,0
0.52,1577001781244,8,0,0
0.519,1577001781734,8,0,0
0.541,1577001782174,8,0,0
0.58,1577001782664,8,0,0
0.599,1577001783106,8,0,0
0.47000000000000003,1577001783594,8,0,0
0.188,1577001784035,8,0,0
0.091,1577001784525,8,0,0
0.185,1577001784964,8,0,0
0.266,1577001785454,8,0,0
0.305,1577001785895,8,0,0
0.303,1577001786385,8,0,0
0.301,1577001786835,8,0,0
0.279,1577001787325,8,0,0
0.309,1577001787764,8,0,0
0.303,1577001788256,8,0,0
0.223,1577001788694,8,0,0
0.064,1577001789184,8,0,0
0.025,1577001789624,8,0,0
0.033,1577001790115,8,0,0
-0.06,1577001790564,8,0,0
-0.20700000000000002,1577001791056,8,0,0
-0.298,1577001791494,8,0,0
-0.369,1577001791984,8,0,0
-0.377,1577001792434,8,0,0
-0.365,1577001792924,8,0,0
-0.377,1577001793364,8,0,0
-0.372,1577001793856,8,0,0
-0.34900000000000003,1577001794294,8,0,0
-0.429,1577001794784,8,0,0
-0.46,1577001795224,8,0,0
-0.359,1577001795714,8,0,0
-0.277,1577001796154,8,0,0
-0.292,1577001796644,8,0,0
-0.369,1577001797084,8,0,0
-0.779,1577001797575,8,0,0
-1.409,1577001798014,5,0,0
-1.585,1577001798514,5,0,0
-1.655,1577001798954,5,0,0
-1.705,1577001799444,5,0,0
-1.692,1577001799895,5,0,0
-1.0110000000000001,1577001800384,5,0,0
-0.55,1577001800834,5,0,0
-0.354,1577001801334,5,0,0
-0.106,1577001801775,5,0,0
0.39,1577001802275,5,0,0
0.718,1577001802714,8,0,0
0.887,1577001803234,8,0,0
0.903,1577001803674,8,0,0
0.901,1577001804164,8,0,0
0.933,1577001804615,8,0,0
0.618,1577001805104,8,0,0
0.521,1577001805544,8,0,0
