DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569398217251.0,4,0,0
0.0,1569398217711.0,4,0,0
0.0,1569398218181.0,1,0,0
0.0,1569398218631.0,1,0,0
0.0,1569398219091.0,1,0,0
0.0,1569398219551.0,1,0,0
0.0,1569398220021.0,2,0,0
0.0,1569398220481.0,2,0,0
0.0,1569398220941.0,2,0,0
0.0,1569398221401.0,2,0,0
0.0,1569398221871.0,2,0,0
0.0,1569398222331.0,2,0,0
0.0,1569398222827.0,2,0,0
0.0,1569398223251.0,2,0,0
0.0,1569398223711.0,1,0,0
0.0,1569398224171.0,1,0,0
0.0,1569398224631.0,1,0,0
0.0,1569398225091.0,1,0,0
0.0,1569398225551.0,1,0,0
0.0,1569398226011.0,1,0,0
0.0,1569398226472.0,1,0,0
0.0,1569398226938.0,1,0,0
0.0,1569398227393.0,1,0,0
0.0,1569398227867.0,1,0,0
0.0,1569398228312.0,1,0,0
0.0,1569398228772.0,1,0,0
0.0,1569398229242.0,1,0,0
0.0,1569398229701.0,1,0,0
0.0,1569398230170.0,1,0,0
0.0,1569398230621.0,2,0,0
0.0,1569398231080.0,2,0,0
0.0,1569398231541.0,2,0,0
0.0,1569398232001.0,2,0,0
0.0,1569398232452.0,2,0,0
0.0,1569398232911.0,2,0,0
0.0,1569398233371.0,2,0,0
0.0,1569398233832.0,2,0,0
0.0,1569398234291.0,2,0,0
0.0,1569398234751.0,2,0,0
0.0,1569398235211.0,2,0,0
0.0,1569398235672.0,2,0,0
0.0,1569398236133.0,2,0,0
0.0,1569398236591.0,2,0,0
0.0,1569398237050.0,2,0,0
0.0,1569398237522.0,2,0,0
0.0,1569398237980.0,2,0,0
0.0,1569398238442.0,2,0,0
0.0,1569398238901.0,2,0,0
0.0,1569398239360.0,2,0,0
0.0,1569398239822.0,5,0,0
0.0,1569398240280.0,5,0,0
0.0,1569398240741.0,5,0,0
0.0,1569398241201.0,5,0,0
0.0,1569398241662.0,5,0,0
0.0,1569398242121.0,5,0,0
0.0,1569398242581.0,5,0,0
0.0,1569398243042.0,5,0,0
0.0,1569398243500.0,5,0,0
0.0,1569398243961.0,1,0,0
0.0,1569398244421.0,1,0,0
0.0,1569398244882.0,1,0,0
0.0,1569398245332.0,1,0,0
0.0,1569398245791.0,1,0,0
0.0,1569398246251.0,1,0,0
0.0,1569398246711.0,2,0,0
0.0,1569398247171.0,2,0,0
0.0,1569398247630.0,2,0,0
0.0,1569398248100.0,2,0,0
0.0,1569398248562.0,2,0,0
0.0,1569398249022.0,2,0,0
0.0,1569398249482.0,2,0,0
0.0,1569398249955.0,2,0,0
0.0,1569398250412.0,2,0,0
0.0,1569398250871.0,2,0,0
0.0,1569398251332.0,2,0,0
0.0,1569398251792.0,2,0,0
0.0,1569398252267.0,1,0,0
0.0,1569398252711.0,1,0,0
0.0,1569398253172.0,1,0,0
0.0,1569398253631.0,1,0,0
0.0,1569398254092.0,1,0,0
0.0,1569398254552.0,1,0,0
0.0,1569398255012.0,1,0,0
0.0,1569398255471.0,2,0,0
0.0,1569398255932.0,2,0,0
0.0,1569398256392.0,2,0,0
0.0,1569398256854.0,2,0,0
0.0,1569398257312.0,2,0,0
0.0,1569398257772.0,2,0,0
0.0,1569398258241.0,2,0,0
0.0,1569398258700.0,1,0,0
0.0,1569398259162.0,1,0,0
0.0,1569398259622.0,1,0,0
0.0,1569398260082.0,1,0,0
0.0,1569398260542.0,1,0,0
0.0,1569398261002.0,1,0,0
0.0,1569398261462.0,1,0,0
0.0,1569398261922.0,1,0,0
0.0,1569398262382.0,1,0,0
0.0,1569398262841.0,3,0,0
0.0,1569398263302.0,3,0,0
0.0,1569398263762.0,3,0,0
0.0,1569398264221.0,3,0,0
0.0,1569398264681.0,3,0,0
0.0,1569398265142.0,3,0,0
0.0,1569398265602.0,3,0,0
0.0,1569398266061.0,3,0,0
0.0,1569398266522.0,3,0,0
0.0,1569398267011.0,3,0,0
0.0,1569398267454.0,3,0,0
0.0,1569398267902.0,3,0,0
0.0,1569398268362.0,3,0,0
0.0,1569398268832.0,1,0,0
0.0,1569398269291.0,1,0,0
0.0,1569398269752.0,1,0,0
0.0,1569398270202.0,1,0,0
0.0,1569398270671.0,1,0,0
0.0,1569398271122.0,1,0,0
0.0,1569398271592.0,1,0,0
0.0,1569398272051.0,1,0,0
0.0,1569398272512.0,1,0,0
