DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
2048.0,1569321206097.0,6,0,0
1785.5,1569321206558.0,6,0,0
1332.0,1569321207018.0,6,0,0
1337.5,1569321207488.0,6,0,0
1308.5,1569321207948.0,6,0,0
1317.5,1569321208408.0,6,0,0
1332.5,1569321208868.0,6,0,0
1329.0,1569321209328.0,6,0,0
1362.0,1569321209797.0,6,0,0
1387.0,1569321210248.0,6,0,0
1407.5,1569321210708.0,6,0,0
1443.0,1569321211168.0,1,0,0
1471.0,1569321211628.0,1,0,0
1490.5,1569321212088.0,1,0,0
1513.5,1569321212548.0,1,0,0
1452.5,1569321213008.0,1,0,0
1417.5,1569321213468.0,5,0,0
1287.5,1569321213944.0,5,0,0
1154.0,1569321214398.0,5,0,0
1070.0,1569321214857.0,5,0,0
1040.5,1569321215307.0,5,0,0
1379.5,1569321215768.0,5,0,0
1443.5,1569321216228.0,5,0,0
1478.5,1569321216697.0,5,0,0
1478.5,1569321217158.0,5,0,0
1476.0,1569321217618.0,5,0,0
1438.0,1569321218091.0,5,0,0
1424.0,1569321218548.0,5,0,0
1409.5,1569321219008.0,5,0,0
1396.5,1569321219468.0,1,0,0
1274.5,1569321219938.0,1,0,0
1132.5,1569321220398.0,1,0,0
1051.5,1569321220858.0,1,0,0
993.5,1569321221331.0,1,0,0
912.0,1569321221778.0,1,0,0
882.0,1569321222238.0,1,0,0
874.5,1569321222697.0,6,0,0
863.0,1569321223158.0,6,0,0
845.0,1569321223618.0,6,0,0
959.5,1569321224078.0,6,0,0
1173.0,1569321224548.0,6,0,0
1264.5,1569321225008.0,6,0,0
1310.5,1569321225478.0,6,0,0
1325.0,1569321225938.0,6,0,0
1259.5,1569321226388.0,6,0,0
1250.0,1569321226848.0,6,0,0
1254.0,1569321227308.0,6,0,0
1256.0,1569321227768.0,6,0,0
1261.5,1569321228238.0,6,0,0
1263.5,1569321228732.0,6,0,0
1286.0,1569321229168.0,6,0,0
1314.0,1569321229628.0,6,0,0
1356.0,1569321230088.0,6,0,0
1387.5,1569321230548.0,6,0,0
1425.0,1569321231008.0,1,0,0
1461.5,1569321231468.0,1,0,0
1487.5,1569321231928.0,1,0,0
1413.5,1569321232398.0,1,0,0
1382.5,1569321232858.0,1,0,0
1277.0,1569321233318.0,1,0,0
1133.5,1569321233778.0,5,0,0
1054.0,1569321234238.0,5,0,0
1064.0,1569321234688.0,5,0,0
1252.0,1569321235148.0,5,0,0
1351.0,1569321235608.0,5,0,0
1372.5,1569321236068.0,5,0,0
1387.5,1569321236528.0,5,0,0
1397.0,1569321236988.0,5,0,0
1407.0,1569321237448.0,5,0,0
1410.0,1569321237908.0,5,0,0
1386.5,1569321238368.0,5,0,0
1364.5,1569321238828.0,5,0,0
1351.0,1569321239288.0,5,0,0
1343.5,1569321239748.0,1,0,0
1334.5,1569321240208.0,1,0,0
1332.0,1569321240668.0,1,0,0
1326.5,1569321241128.0,1,0,0
1163.0,1569321241598.0,1,0,0
1080.5,1569321242058.0,1,0,0
1018.0,1569321242518.0,6,0,0
961.5,1569321242978.0,6,0,0
915.0,1569321243438.0,6,0,0
881.5,1569321243908.0,6,0,0
849.5,1569321244374.0,6,0,0
975.0,1569321244828.0,6,0,0
1282.0,1569321245288.0,6,0,0
1412.5,1569321245758.0,6,0,0
1371.5,1569321246218.0,6,0,0
1368.5,1569321246688.0,6,0,0
1384.0,1569321247148.0,6,0,0
1455.5,1569321247608.0,6,0,0
1468.5,1569321248068.0,6,0,0
1486.5,1569321248528.0,6,0,0
1488.5,1569321248988.0,6,0,0
1500.0,1569321249458.0,6,0,0
1522.5,1569321249918.0,6,0,0
1557.0,1569321250378.0,6,0,0
1520.0,1569321250848.0,1,0,0
1493.5,1569321251308.0,1,0,0
1364.5,1569321251778.0,1,0,0
1251.5,1569321252238.0,1,0,0
1246.0,1569321252708.0,1,0,0
1254.0,1569321253158.0,1,0,0
1290.0,1569321253628.0,1,0,0
1297.0,1569321254088.0,1,0,0
1288.0,1569321254548.0,1,0,0
1263.0,1569321255008.0,1,0,0
1264.0,1569321255468.0,1,0,0
1131.0,1569321255928.0,5,0,0
1038.0,1569321256388.0,5,0,0
998.5,1569321256848.0,5,0,0
957.0,1569321257308.0,5,0,0
1229.0,1569321257768.0,5,0,0
1402.5,1569321258286.0,5,0,0
1418.5,1569321258698.0,5,0,0
1455.5,1569321259158.0,5,0,0
1473.5,1569321259618.0,5,0,0
1491.5,1569321260068.0,5,0,0
1516.5,1569321260538.0,5,0,0
1471.5,1569321260998.0,5,0,0
1406.0,1569321261468.0,1,0,0
1352.0,1569321261928.0,1,0,0
1186.5,1569321262388.0,1,0,0
1092.0,1569321262848.0,6,0,0
1025.5,1569321263308.0,6,0,0
954.0,1569321263767.0,6,0,0
927.0,1569321264228.0,6,0,0
904.0,1569321264698.0,6,0,0
865.0,1569321265148.0,6,0,0
914.5,1569321265618.0,6,0,0
1056.0,1569321266078.0,6,0,0
1363.5,1569321266538.0,6,0,0
1802.0,1569321266998.0,6,0,0
1864.5,1569321267458.0,6,0,0
1845.5,1569321267918.0,6,0,0
1820.5,1569321268378.0,6,0,0
1860.0,1569321268838.0,6,0,0
1898.0,1569321269297.0,6,0,0
1902.0,1569321269758.0,6,0,0
1930.0,1569321270217.0,6,0,0
1677.0,1569321270678.0,6,0,0
1449.5,1569321271137.0,6,0,0
1535.5,1569321271598.0,6,0,0
1571.0,1569321272072.0,1,0,0
1623.0,1569321272508.0,1,0,0
1728.0,1569321272968.0,1,0,0
1781.0,1569321273427.0,1,0,0
1731.5,1569321273898.0,1,0,0
1644.5,1569321274366.0,1,0,0
1536.5,1569321274818.0,1,0,0
1426.0,1569321275277.0,1,0,0
1306.0,1569321275738.0,5,0,0
1150.0,1569321276197.0,5,0,0
1089.5,1569321276670.0,5,0,0
1067.0,1569321277127.0,5,0,0
991.5,1569321277589.0,5,0,0
1006.5,1569321278048.0,5,0,0
1236.0,1569321278508.0,5,0,0
1386.0,1569321278968.0,5,0,0
1356.5,1569321279427.0,5,0,0
1260.0,1569321279888.0,5,0,0
1165.5,1569321280350.0,5,0,0
1065.0,1569321280808.0,5,0,0
1013.5,1569321281278.0,5,0,0
954.0,1569321281729.0,1,0,0
921.5,1569321282188.0,1,0,0
884.0,1569321282690.0,1,0,0
867.5,1569321283108.0,1,0,0
845.0,1569321283567.0,1,0,0
836.0,1569321284028.0,1,0,0
828.5,1569321284488.0,1,0,0
821.0,1569321284938.0,1,0,0
820.0,1569321285397.0,1,0,0
814.0,1569321285868.0,6,0,0
811.5,1569321286327.0,6,0,0
812.0,1569321286787.0,6,0,0
816.5,1569321287247.0,6,0,0
811.5,1569321287707.0,6,0,0
943.5,1569321288168.0,6,0,0
1180.0,1569321288638.0,6,0,0
1417.5,1569321289098.0,6,0,0
1485.5,1569321289558.0,6,0,0
1478.5,1569321290018.0,6,0,0
1499.0,1569321290478.0,6,0,0
1528.0,1569321290938.0,6,0,0
1601.0,1569321291398.0,6,0,0
1645.0,1569321291857.0,6,0,0
1686.5,1569321292318.0,6,0,0
1763.0,1569321292777.0,6,0,0
1783.5,1569321293248.0,6,0,0
1847.0,1569321293708.0,6,0,0
1948.5,1569321294168.0,6,0,0
1934.5,1569321294638.0,6,0,0
1667.0,1569321295088.0,6,0,0
1298.5,1569321295548.0,6,0,0
1338.5,1569321296018.0,6,0,0
1348.5,1569321296477.0,6,0,0
1368.5,1569321296938.0,6,0,0
1402.5,1569321297426.0,1,0,0
1407.5,1569321297868.0,1,0,0
1385.5,1569321298327.0,1,0,0
1315.0,1569321298798.0,1,0,0
1337.0,1569321299258.0,1,0,0
1371.5,1569321299718.0,1,0,0
1336.0,1569321300169.0,5,0,0
1324.5,1569321300639.0,5,0,0
1331.0,1569321301098.0,5,0,0
1338.5,1569321301557.0,5,0,0
1344.0,1569321302018.0,5,0,0
1351.5,1569321302477.0,5,0,0
1348.0,1569321302928.0,5,0,0
1340.0,1569321303398.0,5,0,0
1344.0,1569321303857.0,5,0,0
1336.0,1569321304310.0,5,0,0
1319.5,1569321304807.0,5,0,0
1316.0,1569321305227.0,5,0,0
1310.5,1569321305698.0,1,0,0
1279.0,1569321306157.0,1,0,0
1158.0,1569321306617.0,1,0,0
1086.5,1569321307078.0,1,0,0
1033.0,1569321307537.0,1,0,0
948.0,1569321307998.0,6,0,0
