speed_data,Timestamp,Action,Bump,Traffic congestion
0,1576223777165,1,0,1
0,1576223777615,1,0,1
0,1576223778065,1,0,1
0,1576223778515,1,0,1
0,1576223778965,1,0,1
1,1576223779415,1,0,1
1,1576223779865,1,0,1
2,1576223780315,1,0,1
2,1576223780766,1,0,1
2,1576223781216,1,0,1
2,1576223781665,1,0,1
2,1576223782106,1,0,1
3,1576223782555,1,0,1
3,1576223783005,1,0,1
4,1576223783455,1,0,1
4,1576223783905,1,0,1
5,1576223784355,1,0,1
5,1576223784805,1,0,1
6,1576223785255,1,0,1
7,1576223785705,1,0,1
7,1576223786155,1,0,1
6,1576223786605,1,0,1
6,1576223787045,1,0,1
6,1576223787495,1,0,1
6,1576223787945,1,0,1
7,1576223788395,1,0,1
7,1576223788835,1,0,1
7,1576223789276,1,0,1
7,1576223789726,1,0,1
6,1576223790175,1,0,1
6,1576223790615,1,0,1
7,1576223791055,1,0,1
8,1576223791505,1,0,1
8,1576223791955,1,0,1
8,1576223792396,1,0,1
9,1576223792845,1,0,1
9,1576223793296,1,0,1
9,1576223793747,1,0,1
9,1576223794207,1,0,1
8,1576223794656,1,0,1
7,1576223795106,1,0,1
5,1576223795556,1,0,1
5,1576223796007,1,0,1
4,1576223796456,1,0,1
4,1576223796906,1,0,1
4,1576223797356,1,0,1
4,1576223797807,1,0,1
4,1576223798256,1,0,1
4,1576223798706,1,0,1
5,1576223799156,1,0,1
6,1576223799607,1,0,1
6,1576223800056,1,0,1
6,1576223800506,1,0,1
6,1576223800956,1,0,1
5,1576223801407,1,0,1
5,1576223801856,1,0,1
5,1576223802306,1,0,1
6,1576223802756,1,0,1
7,1576223803207,1,0,1
7,1576223803656,1,0,1
6,1576223804106,1,0,1
6,1576223804556,1,0,1
7,1576223805006,1,0,1
8,1576223805456,1,0,1
8,1576223805906,1,0,1
7,1576223806356,1,0,1
7,1576223806806,1,0,1
6,1576223807256,1,0,1
5,1576223807706,1,0,1
4,1576223808156,1,0,1
4,1576223808606,1,0,1
3,1576223809056,1,0,1
2,1576223809506,1,0,1
1,1576223809956,1,0,1
