X-axis Acceleration,Y-axis Acceleration,Z-axis Acceleration,X-axis Gyroscope,Y-axis Gyroscope,Z-axis Gyroscope, Timestamp,Action,BUMP,Traffic congestion
-0.208295, -0.383072, 8.722076, -2.775073, -0.959931, -1.535889, 1576140347369,0,0,0
-0.052672, -0.28491, 8.580818, -3.211405, 0.209439, -1.797689, 1576140347421,0,0,0
-0.146046, -0.280121, 8.619126, -3.97935, 1.518436, -2.216568, 1576140347473,0,0,0
-0.220266, -0.356736, 8.662221, -3.054326, -0.488692, -2.111848, 1576140347525,0,0,0
-0.110133, -0.232237, 8.561665, -3.316125, -0.715584, -1.588249, 1576140347578,0,0,0
-0.167594, -0.198718, 8.674192, -3.420845, 1.099557, -2.565634, 1576140347630,0,0,0
-0.210689, -0.356736, 8.810662, -3.263765, -0.034906, -2.268928, 1576140347682,0,0,0
-0.17717, -0.292092, 8.568847, -2.914699, -0.488692, -2.024581, 1576140347734,0,0,0
-0.083797, -0.282515, 8.564059, -3.804817, 1.27409, -2.164208, 1576140347787,0,0,0
-0.244208, -0.347159, 8.757989, -3.630284, 0.645771, -2.111848, 1576140347839,0,0,0
-0.201112, -0.220266, 8.535329, -2.583087, -0.785398, -2.338741, 1576140347891,0,0,0
-0.134075, -0.210689, 8.508992, -3.438298, 1.134464, -2.286381, 1576140347944,0,0,0
-0.17717, -0.306457, 8.652644, -3.455751, 0.017453, -2.216568, 1576140347996,0,0,0
-0.07422, -0.256179, 8.626308, -3.106686, -0.471238, -1.832595, 1576140348049,0,0,0
-0.129286, -0.308852, 8.43956, -3.176499, -0.209439, -1.972222, 1576140348101,0,0,0
-0.184353, -0.354341, 8.69574, -3.333578, 0.890117, -2.391101, 1576140348156,0,0,0
-0.167594, -0.28491, 8.669404, -2.75762, -0.733038, -2.234021, 1576140348208,0,0,0
-0.11971, -0.289698, 8.362946, -3.385938, 0.174532, -2.303834, 1576140348260,0,0,0
-0.169988, -0.270544, 8.597578, -3.612831, 1.16937, -2.426007, 1576140348313,0,0,0
-0.215478, -0.337582, 8.662221, -2.897246, -0.541052, -2.076941, 1576140348365,0,0,0
-0.136469, -0.292092, 8.513781, -3.089232, -0.418879, -2.111848, 1576140348417,0,0,0
-0.153228, -0.337582, 8.559271, -3.822271, 1.186823, -2.216568, 1576140348470,0,0,0
-0.22266, -0.328005, 8.69574, -2.984513, 0.523598, -2.129301, 1576140348522,0,0,0
-0.150834, -0.294486, 8.659827, -3.263765, -0.541052, -2.356194, 1576140348574,0,0,0
-0.114921, -0.229843, 8.418013, -3.543018, 1.308996, -1.954768, 1576140348627,0,0,0
-0.246602, -0.260967, 8.664615, -3.420845, 1.256637, -2.076941, 1576140348679,0,0,0
-0.035913, -0.251391, 8.549694, -2.687807, -0.715584, -1.867502, 1576140348731,0,0,0
-0.047884, -0.225054, 8.463503, -3.787364, 0.645771, -2.460914, 1576140348783,0,0,0
-0.052672, -0.325611, 8.655039, -3.246312, 0.837758, -1.972222, 1576140348836,0,0,0
-0.105344, -0.294486, 8.552088, -2.617993, -0.541052, -2.338741, 1576140348888,0,0,0
-0.126892, -0.260967, 8.384494, -3.124139, -0.034906, -2.199114, 1576140348940,0,0,0
-0.184353, -0.299275, 8.599972, -3.211405, 1.27409, -2.373647, 1576140348993,0,0,0
-0.162805, -0.323217, 8.657433, -2.967059, 0.226892, -2.094395, 1576140349045,0,0,0
-0.071826, -0.260967, 8.386888, -3.368485, 0.261799, -2.268928, 1576140349097,0,0,0
-0.136469, -0.251391, 8.602366, -3.804817, 1.483529, -2.059488, 1576140349150,0,0,0
-0.213083, -0.383072, 8.688557, -2.844886, -0.488692, -2.094395, 1576140349202,0,0,0
-0.059855, -0.277727, 8.391676, -2.687807, -0.296705, -2.338741, 1576140349254,0,0,0
-0.165199, -0.272938, 8.497021, -3.560471, 1.099557, -2.164208, 1576140349307,0,0,0
-0.198718, -0.375889, 8.640673, -3.071779, 0.087266, -2.321287, 1576140349359,0,0,0
-0.143652, -0.258573, 8.585607, -2.356194, -0.855211, -2.356194, 1576140349412,0,0,0
-0.122104, -0.289698, 8.427589, -3.490658, 1.01229, -2.356194, 1576140349464,0,0,0
-0.217872, -0.354341, 8.714894, -3.106686, 1.01229, -2.024581, 1576140349517,0,0,0
-0.174776, -0.301669, 8.700528, -2.879793, -0.942477, -2.164208, 1576140349569,0,0,0
-0.055066, -0.213083, 8.43956, -3.403392, 0.942477, -2.60054, 1576140349621,0,0,0
-0.158017, -0.311246, 8.647856, -3.700098, 0.820304, -2.391101, 1576140349673,0,0,0
-0.146046, -0.306457, 8.688557, -3.089232, -1.11701, -2.234021, 1576140349726,0,0,0
-0.05746, -0.277727, 8.540117, -2.80998, -0.331612, -1.954768, 1576140349778,0,0,0
-0.124498, -0.328005, 8.623914, -3.577924, 0.942477, -2.49582, 1576140349830,0,0,0
-0.215478, -0.318428, 8.710105, -3.263765, -0.226892, -2.059488, 1576140349882,0,0,0
-0.11971, -0.198718, 8.580818, -2.740166, -0.139626, -2.49582, 1576140349935,0,0,0
-0.169988, -0.232237, 8.499416, -3.700098, 1.06465, -2.129301, 1576140349987,0,0,0
-0.256179, -0.294486, 8.803479, -3.438298, 0.331612, -2.408554, 1576140350039,0,0,0
-0.062249, -0.258573, 8.60476, -3.263765, -0.383972, -1.919862, 1576140350092,0,0,0
-0.124498, -0.275333, 8.468291, -3.612831, 0.575958, -2.251474, 1576140350144,0,0,0
-0.184353, -0.256179, 8.72447, -2.932153, 0.261799, -1.902408, 1576140350196,0,0,0
-0.155623, -0.296881, 8.573636, -2.70526, -0.890117, -2.54818, 1576140350249,0,0,0
-0.126892, -0.308852, 8.57603, -3.333578, -0.855211, -2.164208, 1576140350301,0,0,0
-0.201112, -0.215478, 8.760384, -3.769911, 1.256637, -2.059488, 1576140350353,0,0,0
-0.256179, -0.35913, 8.643068, -3.124139, -0.645771, -1.919862, 1576140350406,0,0,0
-0.076614, -0.256179, 8.506598, -3.490658, 0.296705, -2.268928, 1576140350458,0,0,0
-0.220266, -0.354341, 8.760384, -3.735004, 1.710422, -2.391101, 1576140350511,0,0,0
-0.205901, -0.325611, 8.714894, -3.071779, -0.575958, -2.373647, 1576140350563,0,0,0
-0.083797, -0.210689, 8.470685, -2.80998, -0.872664, -2.216568, 1576140350615,0,0,0
-0.158017, -0.28491, 8.542511, -4.101523, 1.466076, -2.268928, 1576140350667,0,0,0
-0.198718, -0.275333, 8.743624, -2.984513, 0.366519, -2.356194, 1576140350720,0,0,0
-0.107739, -0.215478, 8.664615, -2.54818, -1.06465, -1.815142, 1576140350772,0,0,0
-0.088585, -0.289698, 8.353369, -3.87463, 1.204277, -1.919862, 1576140350824,0,0,0
-0.22266, -0.383072, 8.60476, -3.577924, 1.151917, -2.076941, 1576140350877,0,0,0
-0.169988, -0.225054, 8.700528, -2.897246, -0.471238, -1.815142, 1576140350929,0,0,0
-0.110133, -0.306457, 8.401253, -3.438298, 0.785398, -2.199114, 1576140350981,0,0,0
-0.172382, -0.31364, 8.674192, -3.612831, 1.06465, -1.989675, 1576140351034,0,0,0
-0.146046, -0.191536, 8.578424, -2.408554, -0.750491, -2.199114, 1576140351086,0,0,0
-0.169988, -0.217872, 8.437166, -3.228859, 0.017453, -1.989675, 1576140351138,0,0,0
-0.158017, -0.31364, 8.516175, -3.612831, 1.029744, -2.094395, 1576140351190,0,0,0
