DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
-0.157,1569400749781.0,2,0,0
-0.032,1569400750203.0,2,0,0
-0.032,1569400750667.0,2,0,0
-0.313,1569400751127.0,2,0,0
-0.5,1569400751587.0,2,0,0
-0.657,1569400752037.0,2,0,0
-0.75,1569400752497.0,2,0,0
-0.75,1569400752957.0,2,0,0
-0.594,1569400753417.0,2,0,0
-0.375,1569400753887.0,2,0,0
-0.188,1569400754347.0,2,0,0
-0.157,1569400754806.0,2,0,0
-0.125,1569400755257.0,1,0,0
-0.063,1569400755727.0,1,0,0
-0.063,1569400756207.0,1,0,0
-0.032,1569400756660.0,1,0,0
-0.032,1569400757155.0,2,0,0
-0.032,1569400757577.0,2,0,0
0.0,1569400758037.0,2,0,0
0.031,1569400758507.0,2,0,0
-0.125,1569400758967.0,2,0,0
-0.28200000000000003,1569400759417.0,2,0,0
-0.375,1569400759887.0,2,0,0
0.093,1569400760380.0,2,0,0
0.156,1569400760807.0,2,0,0
0.218,1569400761267.0,1,0,0
0.281,1569400761727.0,1,0,0
0.25,1569400762187.0,1,0,0
0.593,1569400762647.0,1,0,0
0.25,1569400763117.0,1,0,0
0.25,1569400763587.0,1,0,0
-0.032,1569400764047.0,1,0,0
-0.094,1569400764507.0,3,0,0
-0.125,1569400764967.0,3,0,0
-0.313,1569400765427.0,3,0,0
-0.594,1569400765887.0,3,0,0
-0.844,1569400766347.0,3,0,0
-0.75,1569400766807.0,3,0,0
-0.875,1569400767267.0,3,0,0
-0.657,1569400767727.0,3,0,0
-0.5630000000000001,1569400768187.0,3,0,0
-0.063,1569400768647.0,3,0,0
0.0,1569400769107.0,3,0,0
0.406,1569400769567.0,1,0,0
0.468,1569400770027.0,1,0,0
0.468,1569400770487.0,1,0,0
0.093,1569400770947.0,1,0,0
-0.032,1569400771407.0,2,0,0
-0.032,1569400771867.0,2,0,0
0.0,1569400772327.0,2,0,0
0.0,1569400772777.0,2,0,0
0.0,1569400773247.0,2,0,0
-0.032,1569400773697.0,2,0,0
-0.094,1569400774167.0,2,0,0
-0.25,1569400774616.0,2,0,0
-0.375,1569400775076.0,2,0,0
-0.313,1569400775537.0,2,0,0
-0.25,1569400775997.0,-1,0,0
-0.125,1569400776457.0,-1,0,0
0.0,1569400776916.0,-1,0,0
0.0,1569400777377.0,-1,0,0
0.031,1569400777844.0,-1,0,0
0.093,1569400778308.0,-1,0,0
0.125,1569400778767.0,-1,0,0
0.218,1569400779237.0,1,0,0
0.125,1569400779697.0,1,0,0
0.062,1569400780167.0,1,0,0
-0.094,1569400780627.0,1,0,0
-0.094,1569400781087.0,1,0,0
-0.157,1569400781547.0,1,0,0
-0.625,1569400782007.0,1,0,0
-0.063,1569400782467.0,1,0,0
-0.188,1569400782927.0,1,0,0
-0.188,1569400783387.0,1,0,0
-0.5,1569400783847.0,1,0,0
-0.188,1569400784312.0,2,1,0
-0.094,1569400784767.0,2,1,0
-0.094,1569400785227.0,2,1,0
