DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
13.0,1569400357784.0,2,0,0
13.0,1569400358244.0,2,0,0
12.0,1569400358703.0,2,0,0
12.0,1569400359164.0,2,0,0
12.0,1569400359624.0,2,0,0
12.0,1569400360084.0,-1,0,0
12.0,1569400360544.0,-1,0,0
12.0,1569400361014.0,-1,0,0
12.0,1569400361474.0,-1,0,0
11.0,1569400361934.0,-1,0,0
11.0,1569400362395.0,-1,0,0
11.0,1569400362854.0,1,0,0
11.0,1569400363314.0,1,0,0
11.0,1569400363785.0,1,0,0
12.0,1569400364244.0,1,0,0
13.0,1569400364694.0,1,0,0
13.0,1569400365155.0,1,0,0
13.0,1569400365615.0,1,0,0
13.0,1569400366074.0,1,0,0
13.0,1569400366534.0,1,0,0
13.0,1569400366995.0,1,0,0
13.0,1569400367455.0,1,0,0
13.0,1569400367924.0,1,0,0
13.0,1569400368375.0,1,0,0
13.0,1569400368834.0,1,0,0
12.0,1569400369304.0,1,0,0
12.0,1569400369765.0,1,0,0
12.0,1569400370225.0,1,0,0
12.0,1569400370685.0,1,0,0
12.0,1569400371155.0,1,0,0
11.0,1569400371605.0,1,0,0
11.0,1569400372080.0,1,0,0
10.0,1569400372534.0,1,0,0
10.0,1569400372994.0,1,0,0
10.0,1569400373455.0,1,0,0
10.0,1569400373915.0,1,0,0
10.0,1569400374375.0,1,0,0
10.0,1569400374835.0,1,0,0
10.0,1569400375296.0,1,0,0
10.0,1569400375759.0,1,0,0
10.0,1569400376225.0,1,0,0
11.0,1569400376675.0,2,0,0
11.0,1569400377135.0,2,0,0
11.0,1569400377593.0,2,0,0
11.0,1569400378065.0,2,0,0
10.0,1569400378523.0,2,0,0
9.0,1569400378985.0,2,0,0
8.0,1569400379443.0,2,0,0
8.0,1569400379905.0,2,0,0
8.0,1569400380363.0,2,0,0
8.0,1569400380815.0,2,0,0
8.0,1569400381284.0,2,0,0
8.0,1569400381750.0,2,0,0
7.0,1569400382205.0,2,0,0
7.0,1569400382665.0,2,0,0
7.0,1569400383125.0,2,0,0
6.0,1569400383602.0,2,0,0
8.0,1569400384045.0,2,0,0
9.0,1569400384505.0,2,0,0
11.0,1569400384965.0,1,0,0
11.0,1569400385423.0,1,0,0
11.0,1569400385885.0,1,0,0
11.0,1569400386334.0,1,0,0
